fifa_code,rank,points,edition_date
ARG,1,1877.27,2026-06-11
ESP,2,1874.71,2026-06-11
FRA,3,1870.7,2026-06-11
ENG,4,1828.02,2026-06-11
POR,5,1767.85,2026-06-11
BRA,6,1765.86,2026-06-11
MAR,7,1755.1,2026-06-11
NED,8,1753.57,2026-06-11
BEL,9,1742.24,2026-06-11
GER,10,1735.77,2026-06-11
CRO,11,1714.87,2026-06-11
ITA,12,1704.73,2026-06-11
COL,13,1698.35,2026-06-11
MEX,14,1687.48,2026-06-11
SEN,15,1684.07,2026-06-11
URU,16,1673.07,2026-06-11
USA,17,1671.23,2026-06-11
JPN,18,1661.58,2026-06-11
SUI,19,1650.06,2026-06-11
IRN,20,1619.58,2026-06-11
DEN,21,1619.47,2026-06-11
TUR,22,1605.73,2026-06-11
ECU,23,1598.52,2026-06-11
AUT,24,1597.4,2026-06-11
KOR,25,1591.63,2026-06-11
NGA,26,1585.02,2026-06-11
AUS,27,1579.34,2026-06-11
ALG,28,1571.03,2026-06-11
EGY,29,1562.37,2026-06-11
CAN,30,1559.48,2026-06-11
NOR,31,1557.44,2026-06-11
UKR,32,1549.29,2026-06-11
CIV,33,1540.87,2026-06-11
PAN,34,1539.16,2026-06-11
RUS,35,1529.6,2026-06-11
POL,36,1526.18,2026-06-11
WAL,37,1516.95,2026-06-11
SWE,38,1509.79,2026-06-11
HUN,39,1506.39,2026-06-11
CZE,40,1505.74,2026-06-11
PAR,41,1505.35,2026-06-11
SCO,42,1503.34,2026-06-11
SRB,43,1502.13,2026-06-11
CMR,44,1481.24,2026-06-11
TUN,45,1476.41,2026-06-11
COD,46,1474.43,2026-06-11
SVK,47,1473.66,2026-06-11
GRE,48,1473.19,2026-06-11
VEN,49,1469.18,2026-06-11
UZB,50,1458.73,2026-06-11
CHI,51,1458.2,2026-06-11
PER,52,1457.69,2026-06-11
CRC,53,1456.03,2026-06-11
ROU,54,1455.89,2026-06-11
MLI,55,1455.59,2026-06-11
QAT,56,1450.31,2026-06-11
IRQ,57,1446.28,2026-06-11
IRL,58,1441.1,2026-06-11
SVN,59,1441.09,2026-06-11
RSA,60,1428.38,2026-06-11
KSA,61,1423.88,2026-06-11
BFA,62,1406.99,2026-06-11
JOR,63,1387.74,2026-06-11
BIH,64,1387.22,2026-06-11
HON,65,1378.97,2026-06-11
ALB,66,1376.03,2026-06-11
CPV,67,1371.11,2026-06-11
UAE,68,1370.47,2026-06-11
MKD,69,1369.16,2026-06-11
NIR,70,1365.3,2026-06-11
JAM,71,1357.84,2026-06-11
GEO,72,1355.26,2026-06-11
GHA,73,1346.88,2026-06-11
ISL,74,1342.77,2026-06-11
FIN,75,1341.92,2026-06-11
ISR,76,1333.9,2026-06-11
BOL,77,1326.0,2026-06-11
KOS,78,1319.12,2026-06-11
OMA,79,1306.9,2026-06-11
MNE,80,1301.98,2026-06-11
GUI,81,1295.6,2026-06-11
CUW,82,1294.77,2026-06-11
HAI,83,1293.1,2026-06-11
SYR,84,1283.05,2026-06-11
NZL,85,1275.58,2026-06-11
GAB,86,1272.51,2026-06-11
BUL,87,1271.68,2026-06-11
ANG,88,1265.58,2026-06-11
UGA,89,1264.09,2026-06-11
ZAM,90,1255.82,2026-06-11
CHN,91,1254.81,2026-06-11
BHR,92,1254.41,2026-06-11
BEN,93,1252.17,2026-06-11
THA,94,1250.8,2026-06-11
PLE,95,1243.71,2026-06-11
BLR,96,1242.88,2026-06-11
GUA,97,1238.74,2026-06-11
LUX,98,1232.82,2026-06-11
VIE,99,1225.68,2026-06-11
SLV,100,1225.34,2026-06-11
TJK,101,1224.19,2026-06-11
TRI,102,1219.59,2026-06-11
MOZ,103,1218.62,2026-06-11
MAD,104,1202.69,2026-06-11
EQG,105,1195.2,2026-06-11
KGZ,106,1192.16,2026-06-11
ARM,107,1189.63,2026-06-11
COM,108,1187.91,2026-06-11
KEN,109,1185.08,2026-06-11
LBY,110,1182.08,2026-06-11
KAZ,111,1180.78,2026-06-11
TAN,112,1180.27,2026-06-11
MTN,113,1176.68,2026-06-11
NIG,114,1175.33,2026-06-11
LBN,115,1172.22,2026-06-11
GAM,116,1159.64,2026-06-11
SDN,117,1157.22,2026-06-11
IDN,118,1157.14,2026-06-11
TOG,119,1152.76,2026-06-11
PRK,120,1151.05,2026-06-11
NAM,121,1148.84,2026-06-11
SLE,122,1147.56,2026-06-11
FRO,123,1136.59,2026-06-11
CYP,124,1133.25,2026-06-11
SUR,125,1132.43,2026-06-11
AZE,126,1132.0,2026-06-11
EST,127,1130.64,2026-06-11
RWA,128,1126.62,2026-06-11
MWI,129,1122.05,2026-06-11
ZIM,130,1119.78,2026-06-11
NCA,131,1114.63,2026-06-11
GNB,132,1108.38,2026-06-11
KUW,133,1106.47,2026-06-11
CGO,134,1105.96,2026-06-11
PHI,135,1100.95,2026-06-11
MAS,136,1086.22,2026-06-11
LVA,137,1085.66,2026-06-11
IND,138,1084.93,2026-06-11
CTA,139,1080.82,2026-06-11
LBR,140,1080.44,2026-06-11
TKM,141,1078.65,2026-06-11
BDI,142,1078.01,2026-06-11
ETH,143,1077.52,2026-06-11
DOM,144,1076.5,2026-06-11
YEM,145,1065.24,2026-06-11
LES,146,1064.29,2026-06-11
BOT,147,1063.63,2026-06-11
SGP,148,1057.95,2026-06-11
LTU,149,1056.85,2026-06-11
GUY,150,1049.32,2026-06-11
NCL,151,1036.95,2026-06-11
SKN,152,1036.33,2026-06-11
SOL,153,1031.89,2026-06-11
PUR,154,1024.3,2026-06-11
FIJ,155,1024.17,2026-06-11
HKG,156,1024.16,2026-06-11
TAH,157,1019.04,2026-06-11
MYA,158,1010.91,2026-06-11
MDA,159,1008.24,2026-06-11
VAN,160,1002.53,2026-06-11
MLT,161,992.79,2026-06-11
ATG,162,986.58,2026-06-11
GRN,163,981.82,2026-06-11
CUB,164,981.42,2026-06-11
SWZ,165,979.01,2026-06-11
LCA,166,976.71,2026-06-11
BER,167,975.05,2026-06-11
PNG,168,974.9,2026-06-11
SSD,169,970.94,2026-06-11
VIN,170,968.27,2026-06-11
AFG,171,968.07,2026-06-11
AND,172,946.43,2026-06-11
MDV,173,943.92,2026-06-11
TPE,174,923.78,2026-06-11
CAM,175,922.32,2026-06-11
MSR,176,916.75,2026-06-11
NEP,177,914.54,2026-06-11
MRI,178,911.49,2026-06-11
BRB,179,909.89,2026-06-11
BLZ,180,907.0,2026-06-11
BAN,181,902.93,2026-06-11
DMA,182,897.69,2026-06-11
CHA,183,896.85,2026-06-11
ERI,184,887.06,2026-06-11
LAO,185,885.03,2026-06-11
COK,186,877.53,2026-06-11
SRI,187,876.86,2026-06-11
SAM,188,876.41,2026-06-11
ARU,189,875.61,2026-06-11
MNG,190,874.47,2026-06-11
ASA,191,871.61,2026-06-11
BHU,192,870.81,2026-06-11
MAC,193,858.03,2026-06-11
BRU,194,857.73,2026-06-11
STP,195,855.44,2026-06-11
DJI,196,853.58,2026-06-11
CAY,197,850.06,2026-06-11
PAK,198,840.28,2026-06-11
SOM,199,839.17,2026-06-11
TGA,200,835.64,2026-06-11
TLS,201,831.0,2026-06-11
GIB,202,820.26,2026-06-11
GUM,203,819.54,2026-06-11
SEY,204,804.16,2026-06-11
TCA,205,803.98,2026-06-11
LIE,206,797.7,2026-06-11
BAH,207,786.82,2026-06-11
VIR,208,779.76,2026-06-11
VGB,209,777.41,2026-06-11
AIA,210,760.25,2026-06-11
SMR,211,721.2,2026-06-11
