id,api_football_id,date,league_id,home_team_id,away_team_id,goals_home,goals_away,status,referee_name,referee_api_id,created_at,updated_at
151250,723370,2021-07-11 19:00:00+00,79,1966,1902,1,1,PEN,B. Kuipers,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:35.615355+00
153398,723368,2021-07-10 00:00:00+00,81,2635,2629,3,2,FT,Raphael Claus,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:40.22755+00
151248,721122,2021-07-06 19:00:00+00,79,1966,1930,1,1,PEN,F. Brych,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:43.762894+00
153394,721124,2021-07-05 23:00:00+00,81,1924,2629,1,0,FT,R. Tobar,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:43.762894+00
151249,721123,2021-07-07 19:00:00+00,79,1902,1908,2,1,AET,D. Makkelie,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:42.606677+00
153396,721125,2021-07-07 01:00:00+00,81,1906,2635,1,1,PEN,J. Valenzuela,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:42.606677+00
151245,718242,2021-07-02 19:00:00+00,79,1916,1966,1,2,FT,S. Vinčić,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:50.623604+00
151246,718243,2021-07-02 16:00:00+00,79,1918,1930,1,1,PEN,M. Oliver,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:50.623604+00
153386,718248,2021-07-02 21:00:00+00,81,2629,2636,3,3,PEN,E. Ostojich,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:50.623604+00
153388,718249,2021-07-03 00:00:00+00,81,1924,2630,1,0,FT,P. Loustau,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:50.623604+00
153392,718251,2021-07-04 01:00:00+00,81,1906,1905,3,0,FT,Wilton Pereira Sampaio,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:48.334735+00
151244,718186,2021-07-03 16:00:00+00,79,1971,1908,1,2,FT,B. Kuipers,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:49.483585+00
151247,718252,2021-07-03 19:00:00+00,79,1973,1902,0,4,FT,F. Brych,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:49.483585+00
153390,718250,2021-07-03 22:00:00+00,81,1920,2635,0,0,PEN,Jesús Gil,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:49.483585+00
151242,713475,2021-06-29 16:00:00+00,79,1902,1914,2,0,FT,D. Makkelie,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:55.249419+00
151243,713476,2021-06-29 19:00:00+00,79,1996,1973,1,2,AET,D. Orsato,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:55.249419+00
153362,312569,2021-06-29 00:00:00+00,81,2633,1906,1,4,FT,A. Rojas,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:55.249419+00
151239,713472,2021-06-28 16:00:00+00,79,1913,1930,3,5,AET,C. Çakιr,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:56.415262+00
151241,713474,2021-06-28 19:00:00+00,79,1928,1918,3,3,PEN,F. Rapallini,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:56.415262+00
151240,713473,2021-06-27 19:00:00+00,79,1916,1922,1,0,FT,F. Brych,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:57.548896+00
153363,312572,2021-06-27 21:00:00+00,81,1924,1905,1,1,FT,R. Tobar,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:57.548896+00
153364,312573,2021-06-27 21:00:00+00,81,2631,2629,0,1,FT,P. Loustau,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:57.548896+00
151238,713471,2021-06-27 16:00:00+00,79,1901,1971,0,2,FT,S. Karasev,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:58.68306+00
151217,713161,2021-06-26 19:00:00+00,79,1966,1969,2,1,AET,A. Taylor,,2026-02-27 00:01:51.060209+00,2026-03-10 12:10:59.868446+00
151216,713160,2021-06-26 16:00:00+00,79,1927,1908,0,4,FT,D. Siebert,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:01.094449+00
151174,657688,2021-06-16 19:00:00+00,79,1966,1918,3,0,FT,S. Karasev,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:16.609388+00
151175,657689,2021-06-17 13:00:00+00,79,1973,1984,2,1,FT,F. Rapallini,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:16.609388+00
153357,312562,2021-06-25 00:00:00+00,81,2630,2636,0,2,FT,W. Roldán,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:02.30917+00
153358,312563,2021-06-24 21:00:00+00,81,2633,1920,0,2,FT,A. Herrera,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:03.47543+00
153359,312565,2021-06-24 00:00:00+00,81,1924,2635,2,1,FT,N. Pitana,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:04.656843+00
153360,312566,2021-06-23 21:00:00+00,81,1905,2629,2,2,FT,Jesús Gil,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:05.84151+00
151198,657692,2021-06-18 13:00:00+00,79,1996,1970,1,0,FT,D. Siebert,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:14.218185+00
151199,657693,2021-06-18 16:00:00+00,79,1913,1971,1,1,FT,Carlos del Cerro,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:14.218185+00
151200,657694,2021-06-18 19:00:00+00,79,1902,1964,0,0,FT,Antonio Mateu,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:14.218185+00
153351,312556,2021-06-22 00:00:00+00,81,1906,2636,1,0,FT,J. Valenzuela,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:08.241879+00
153353,312557,2021-06-21 21:00:00+00,81,1920,2630,1,1,FT,Raphael Claus,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:08.241879+00
153355,312558,2021-06-21 00:00:00+00,81,2635,2629,1,2,FT,E. Ostojich,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:08.241879+00
153356,312560,2021-06-20 21:00:00+00,81,2631,1905,2,2,FT,R. Tobar,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:08.241879+00
153343,312550,2021-06-19 00:00:00+00,81,1906,1920,1,0,FT,Wilton Pereira Sampaio,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:14.218185+00
153345,312551,2021-06-18 21:00:00+00,81,2630,2633,1,0,FT,Jesús Gil,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:14.218185+00
151176,657690,2021-06-17 16:00:00+00,79,1908,1916,1,2,FT,B. Kuipers,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:15.371431+00
153347,312553,2021-06-17 21:00:00+00,81,2635,2631,0,0,FT,E. Aquino,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:15.371431+00
153349,312554,2021-06-18 00:00:00+00,81,1924,2629,4,0,FT,P. Loustau,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:15.371431+00
151170,657684,2021-06-15 16:00:00+00,79,1965,1922,0,3,FT,C. Çakιr,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:17.848131+00
151171,657685,2021-06-15 19:00:00+00,79,1928,1914,1,0,FT,Carlos del Cerro,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:17.848131+00
151172,657686,2021-06-16 13:00:00+00,79,2002,1986,0,1,FT,D. Makkelie,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:17.848131+00
151173,657687,2021-06-16 16:00:00+00,79,1974,1927,0,2,FT,Artur Soares Dias,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:17.848131+00
151167,657681,2021-06-14 13:00:00+00,79,1964,1971,0,2,FT,D. Siebert,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:19.20728+00
151168,657682,2021-06-14 16:00:00+00,79,1911,1970,1,2,FT,O. Hațegan,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:19.20728+00
151169,657683,2021-06-14 19:00:00+00,79,1930,1996,0,0,FT,S. Vinčić,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:19.20728+00
153336,312546,2021-06-15 00:00:00+00,81,2636,2633,3,1,FT,D. Haro,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:19.20728+00
153339,312547,2021-06-14 00:00:00+00,81,2635,1905,1,0,FT,N. Pitana,,2026-02-27 00:01:51.060209+00,2026-03-10 12:11:19.20728+00
