id,fixture_id,home_win,draw,away_win,bookmaker,source
87450,150298,3.27,3.24,2.42,Pinnacle,API-Football-closing
87451,150321,1.88,3.4,5.05,Pinnacle,API-Football-closing
87452,150322,1.55,4,7.59,Pinnacle,API-Football-closing
87453,151160,8.45,4.44,1.47,Pinnacle,API-Football-closing
87454,151161,4.01,3.11,2.22,Pinnacle,API-Football-closing
87455,151162,1.45,4.34,9.61,Pinnacle,API-Football-closing
87456,151163,1.77,3.74,5.23,Pinnacle,API-Football-closing
87492,151244,3.93,3.28,2.16,Pinnacle,API-Football-closing
87494,151245,3.44,3.2,2.39,Pinnacle,API-Football-closing
87495,151248,2.56,3.18,3.18,Pinnacle,API-Football-closing
87496,151249,1.74,3.65,5.66,Pinnacle,API-Football-closing
87497,150445,1.27,6.24,11.86,Pinnacle,API-Football-closing
87498,150446,3.84,3.21,2.19,Pinnacle,API-Football-closing
87499,150447,1.93,3.45,4.47,Pinnacle,API-Football-closing
87500,150448,1.4,4.83,9.11,Pinnacle,API-Football-closing
87501,150460,6.6,4.12,1.57,Pinnacle,API-Football-closing
87502,150449,5.18,3.62,1.78,Pinnacle,API-Football-closing
87503,150450,7.53,4.5,1.48,Pinnacle,API-Football-closing
87504,150461,4.67,3.58,1.88,Pinnacle,API-Football-closing
87505,150452,1.5,4.44,7.12,Pinnacle,API-Football-closing
87506,150451,5.79,4.17,1.62,Pinnacle,API-Football-closing
87507,150462,1.75,3.7,5.36,Pinnacle,API-Football-closing
87508,150453,1.5,4.58,6.94,Pinnacle,API-Football-closing
87509,150456,1.46,4.5,7.99,Pinnacle,API-Football-closing
87510,150455,1.26,6.36,12.26,Pinnacle,API-Football-closing
87511,150454,4.55,3.67,1.86,Pinnacle,API-Football-closing
87512,150459,5.08,3.39,1.86,Pinnacle,API-Football-closing
87513,150458,6.05,3.77,1.67,Pinnacle,API-Football-closing
87514,150457,2.17,3.26,3.82,Pinnacle,API-Football-closing
87515,150463,3.68,3.32,2.07,Pinnacle,API-Football-closing
87516,150464,3.79,3.41,2,Pinnacle,API-Football-closing
87517,150485,3.85,3.49,1.95,Pinnacle,API-Football-closing
87518,150497,4.51,3.61,1.78,Pinnacle,API-Football-closing
87519,150487,5.45,4.26,1.55,Pinnacle,API-Football-closing
87520,150486,1.45,4.39,6.96,Pinnacle,API-Football-closing
87521,150488,4.84,3.92,1.67,Pinnacle,API-Football-closing
87522,150489,2.79,3.51,2.43,Pinnacle,API-Football-closing
87523,150491,7.43,4.56,1.48,Pinnacle,API-Football-closing
87524,150490,3.23,3.17,2.48,Pinnacle,API-Football-closing
87525,150494,2.22,3.13,3.88,Pinnacle,API-Football-closing
87537,150529,2.72,3.16,2.87,Pinnacle,API-Football-closing
87538,150530,2.24,3.03,3.89,Pinnacle,API-Football-closing
87539,150533,2.77,2.85,3.17,Pinnacle,API-Football-closing
87540,150534,3.31,2.81,2.71,Pinnacle,API-Football-closing
87792,153104,2.09,4.62,4.62,Pinnacle,API-Football-closing
87425,150267,5.06,3.58,1.83,Pinnacle,API-Football-closing
87426,150268,2.65,3.14,3.06,Pinnacle,API-Football-closing
87427,150269,1.5,4.47,7.47,Pinnacle,API-Football-closing
87428,150270,2.01,3.35,4.42,Pinnacle,API-Football-closing
87429,150272,2.5,3.2,3.18,Pinnacle,API-Football-closing
87430,150271,1.21,6.66,19.41,Pinnacle,API-Football-closing
87431,150277,8.6,4.8,1.41,Pinnacle,API-Football-closing
87432,150273,4.14,3.43,2.02,Pinnacle,API-Football-closing
87433,150280,7.08,4.3,1.52,Pinnacle,API-Football-closing
87434,150274,7.26,3.96,1.56,Pinnacle,API-Football-closing
87435,150275,8.11,4.3,1.48,Pinnacle,API-Football-closing
