year,country_code,country,player_name,player_name_norm,position,dob,age_at_tournament,caps,goals,club,club_country,data_tier
2026,CZE,Czech Republic,Matěj Kovář,matej kovar,GK,2000-05-17,26,20,0,PSV Eindhoven,,
2026,CZE,Czech Republic,David Zima,david zima,DF,2000-11-08,25,25,1,Slavia Prague,,
2026,CZE,Czech Republic,Tomáš Holeš,tomas holes,DF,1993-03-31,33,41,2,Slavia Prague,,
2026,CZE,Czech Republic,Robin Hranáč,robin hranac,DF,2000-01-29,26,14,1,TSG Hoffenheim,,
2026,CZE,Czech Republic,Vladimír Coufal,vladimir coufal,DF,1992-08-22,33,62,2,TSG Hoffenheim,,
2026,CZE,Czech Republic,Štěpán Chaloupek,stepan chaloupek,DF,2003-03-08,23,5,0,Slavia Prague,,
2026,CZE,Czech Republic,Ladislav Krejčí ( captain ),ladislav krejci ( captain ),DF,1999-04-20,27,27,5,Wolverhampton Wanderers,,
2026,CZE,Czech Republic,Vladimír Darida,vladimir darida,MF,1990-08-08,35,79,8,Hradec Králové,,
2026,CZE,Czech Republic,Adam Hložek,adam hlozek,FW,2002-07-25,23,43,5,TSG Hoffenheim,,
2026,CZE,Czech Republic,Patrik Schick,patrik schick,FW,1996-01-24,30,53,26,Bayer Leverkusen,,
2026,CZE,Czech Republic,Jan Kuchta,jan kuchta,FW,1997-01-08,29,31,3,Sparta Prague,,
2026,CZE,Czech Republic,Lukáš Červ,lukas cerv,MF,2001-04-10,25,17,2,Viktoria Plzeň,,
2026,CZE,Czech Republic,Mojmír Chytil,mojmir chytil,FW,1999-04-29,27,22,6,Slavia Prague,,
2026,CZE,Czech Republic,David Jurásek,david jurasek,DF,2000-08-07,25,18,1,Slavia Prague,,
2026,CZE,Czech Republic,Pavel Šulc,pavel sulc,FW,2000-12-29,25,21,5,Lyon,,
2026,CZE,Czech Republic,Jindřich Staněk,jindrich stanek,GK,1996-04-27,30,14,0,Slavia Prague,,
2026,CZE,Czech Republic,Lukáš Provod,lukas provod,MF,1996-10-23,29,38,3,Slavia Prague,,
