venue_key,stadium,city,country,lat,lon,altitude_m,tz,roofed,climate_high_c,climate_rh_pct
Mexico City Stadium,Estadio Azteca,Mexico City,MEX,19.303,-99.15,2240,America/Mexico_City,0,23,55
Guadalajara Stadium,Estadio Akron,Guadalajara,MEX,20.682,-103.462,1551,America/Mexico_City,0,27,55
Monterrey Stadium,Estadio BBVA,Monterrey,MEX,25.669,-100.244,500,America/Monterrey,0,34,50
Toronto Stadium,BMO Field,Toronto,CAN,43.633,-79.418,76,America/Toronto,0,26,60
BC Place Vancouver,BC Place,Vancouver,CAN,49.277,-123.112,0,America/Vancouver,1,22,65
Atlanta Stadium,Mercedes-Benz Stadium,Atlanta,USA,33.755,-84.401,320,America/New_York,1,31,65
Boston Stadium,Gillette Stadium,Foxborough,USA,42.091,-71.264,90,America/New_York,0,27,65
Dallas Stadium,AT&T Stadium,Arlington,USA,32.748,-97.093,160,America/Chicago,1,35,55
Houston Stadium,NRG Stadium,Houston,USA,29.685,-95.411,15,America/Chicago,1,34,70
Kansas City Stadium,Arrowhead Stadium,Kansas City,USA,39.049,-94.484,270,America/Chicago,0,31,60
Los Angeles Stadium,SoFi Stadium,Inglewood,USA,33.953,-118.339,30,America/Los_Angeles,1,27,65
Miami Stadium,Hard Rock Stadium,Miami Gardens,USA,25.958,-80.239,3,America/New_York,0,32,70
New York/New Jersey Stadium,MetLife Stadium,East Rutherford,USA,40.814,-74.074,5,America/New_York,0,29,60
Philadelphia Stadium,Lincoln Financial Field,Philadelphia,USA,39.901,-75.168,12,America/New_York,0,30,60
San Francisco Bay Area Stadium,Levi's Stadium,Santa Clara,USA,37.403,-121.97,4,America/Los_Angeles,0,27,70
Seattle Stadium,Lumen Field,Seattle,USA,47.595,-122.332,5,America/Los_Angeles,0,23,65
